Commode Pail With Lid 7.5 Quart  Gray,7.5 Quart * Fits standard commodes * Gray  * Tight fitting cover *,1362,6.4,11.64,Commodes,Commode Pails,2.38,68,1362.jpg,1209,20,13,13,,,,,,,,,,
Splash Guard  Grey,Grey * Fits most leading manufacturers commodes,1362A,3.57,6.48,Commodes,Splash Guards,2.38,8,1362A.jpg,1209,24,14,13,1362A.jpg,,,,,,,,,
Commode Pail With Lid 12 Quart  Gray,12 Quart * Fits standard commodes * Gray* Tight fitting cover * Wire handle,1362C,7.37,13.41,Commodes,Commode Pails,2.38,5,1362c.jpg,1209,24,14,13,1362c.jpg,,,,,,,,,
Commode Bucket w/ Handle & Cvr (for use with RS Commodes),For Use With RS Series Rehab/Shower commodes *1/ea,1362RS,23.26,42.29,Commodes,Commode Pails,1,0,1362rs.jpg,1209,0.01,0.01,0.01,,,,,,,,,,
Commode Pail Bariatric Gray,For use with our Bariatric Commodes (#1066B and #1066C) * Tight fitting cover * Dimensions:  14  L x 9  W x 6  D * Gray * 14 quart capacity,1363,24.79,45.06,Commodes,Commode Pails,2.38,0,1363.jpg,1209,15,9,6,1363.jpg,,,,,,,,,
Commode Bariatric 3-in-1 Case/2,Weight capacity: 400 lbs *,1366D,277.16,503.93,Commodes,Bedside Commodes,0,0,1366d.jpg,1062,0,0,0,,,,,,,,,,
Commode  Folding Steel 3-in-1 Non-Retail Carton (Drive),Non- Retail Boxed * Easily opens and folds * Folds flat for convenient storage and transportation * Durable plastic snap on seat and lid * Grey powder coated steel * Plastic arms for added comfort * Comes complete with 8 qt. bucket   cover and splash shield * Width between arms 19  * Outside width  22-1/2  * Seat width 14  * Seat depth 16.5  * Height adjustable from 16-1/2  to 22-1/2  * Weight capacity  350 lbs.,1366E,29.25,53.18,Commodes,Bedside Commodes,13,98,1366E.jpg,1209,31,22,15,1366E.jpg,1366E-1.jpg,,,,,,,,
Commode  Folding Steel 3-in-1 Non-Retail Carton (Drive) Cs/4,Non- Retail Boxed * Easily opens and folds * Folds flat for convenient storage and transportation * Durable plastic snap on seat and lid * Grey powder coated steel * Plastic arms for added comfort * Comes complete with 8 qt. bucket   cover and splash shield * Width between arms 19  * Outside width  22-1/2  * Seat width 14  * Seat depth 16.5  * Height adjustable from 16-1/2  to 22-1/2  * Weight capacity  350 lbs.,1.37E+07,117.5,213.63,Commodes,Bedside Commodes,52,448,1366E4.jpg,1209,31,22,15,1366E4.jpg,1366E4-1.jpg,,,,,,,,
Commode  Folding Steel 3-in-1 Comp Edge Line (Drive) Cs/4,Non- Retail Boxed * Easily opens and folds * Folds flat for convenient storage and transportation * Tool-free set-up * Durable plastic snap on seat * Grey powder coated steel welded construction increases strength and durability * Comes complete with 7.5 qt commode bucket * Splash Guard included * Limited Lifetime Warranty * Made using recycled materials * Seat Dimensions 13.5  (W) x 15  (D) * Seat Height 16.6  - 22.5  * Width 18  Between Arms | 22.5  Outside * Weight Capacity  350 lbs * HCPCS Code E0163,1366G-4,121.2,220.35,Commodes,Bedside Commodes,61,24,1366G-4.jpg,1209,31,22,15,1366G-4.jpg,,,,,,,,,
Commode Seat & Lid Only(Drive) For 1366A 1367 1369 & 1370,Standard Commodes * For use with our original style commodes with regular opening (For 1366A 1367 1369 & 1370) * Shipping Carton Size: 22 L x 16 W x 4 H *,1366S,34.2,62.18,Commodes,Bedside Commodes,5.2,1,1366S.jpg,1209,15,15,14,1366S.jpg,,,,,,,,,
Toilet Seat w/Lid  Oblong Fits #1366E and 1066 Commodes,For use with item: 1066  & 1366E * Inside measurement  10 « x 9,1366V,23.85,43.36,Commodes,Commode/Shower Chair Accessori,5,0,1366V.jpg,1209,18,15,3,,,,,,,,,,
Bariatric Folding Commode 650 lb. Capacity,Easily opens and folds * Folds flat for convenient storage and transportation * 16.5  deep snap on seat with lid * Comes complete with no-chip seat  lid  splash shield  12 qt. bucket and cover * Plastic armrests provide comfort and stability * Overall width: 31.5  * Width between arms: 24  * Limited Lifetime Warranty * Tool free assembly in 4 easy steps * Weight capacity: 650 lbs * If a replacement commode pail is needed  please use #1362C,1368A,117.68,213.95,Commodes,Bedside Commodes,7.5,16,1368A.jpg,1209,31,27,12,1368A.jpg,1368A-1.jpg,1368A-2.jpg,1368A-3.jpg,,,,,,
Advanced WC and Bed Alarm w/45 Day Sensor Pad,Automatically resets when pressure is reapplied to the sensor pad *  Top mounted flashing lights helps to verify that the monitor is armed (slow green flash) and locate the monitor when alarming (fast red flash) - perfect for nighttime use * Hidden dual button reset helps deter resident tampering while offering easy access for staff * Simply switch the control on the alarm and turn it into a floor sensor monitor * Meets JCAHO (Joint Commission on Accreditation of Healthcare Organizations) guidelines * Alarm is always in the on position  making it impossible for staff to forget to turn the alarm on  and preventing the alarm from being accidentally turned off * Can be used with most companies bed and chair sensor pads as well as both velcro and buckle seatbelt sensors and with Proactive's floor sensor pads * Mounting bracket easily attaches to practically all wheelchairs and beds * Easily detachable strap offers the facility more mounting options * Avoid having to replace sensor pads because of ripped cords * Low and high volume option offers the caregiver the option to adjust the alarm to the required volume *  Different tones allow you to choose the sound that works for you *  Optional screw to close the battery cover making the alarms controls only accessible to facility staff * 0-2 second delay options helps reduce false alarms (for restless residents) * Pad-Floor option enables all alarms to work with floor sensor pads * Low battery alert * Multiple alarm tones * Standard color Black * Operates on one 9V battery (included) * 1 Year warranty on the alarm and 45 Day warranty on the pad * Includes 45 day Classic chair sensor pad 7 x15,13701,43.35,78.82,Beds & Accessories,Alarms,0,13,13701.jpg,2139,0,0,0,,,,,,,,,,
Basic Magnet WC & Bed Alarm Wheelchair & Bed Alarm,This easy-to-use  low cost pull-string monitor  activates when resident movement occurs beyond the preset distance * The monitor attaches to a bed or chair  and the clip is attached to the resident's clothing * An alarm sounds when the magnetic seal is broken between the monitor and the magnet  indicating that the resident has moved beyond the set parameters * Clip attaches securely to resident's clothing * Reliable multi-directional magnetic pull-switch * Adjustable-length cord clips to resident's clothing *  Meets JCAHO ( Joint Commission on Accreditation of Healthcare Organizations) guidelines * Alarm is always in the on position  making it impossible for staff to forget to turn the alarm on  and preventing the alarm from being accidentally turned off * Mounting bracket easily attaches to practically all wheelchairs or beds *  Standard color is black *  Operates on one 9V battery (included) *  6 month warranty,13702,16.42,29.86,Beds & Accessories,Alarms,0,4,13702.jpg,2139,0,0,0,13702.jpg,13702-1.jpg,13702-2.jpg,,,,,,,
Advanced Magnet Alarm for Wheelchairs or Beds,Top mounted flashing lights helps locate the monitor when alarming (fast red flash) * Clip attaches securely to residents clothing * Reliable multi-directional magnetic pull-switch * Adjustable-length cord clips to residents clothing * Hidden dual button reset helps deter resident tampering while offering easy access for staff * Meets JCAHO guidelines *  Alarm is always in the on position  making it impossible for staff to forget to turn the alarm on  and preventing the alarm from being accidentally turned off * Mounting bracket  easily attaches to practically all wheelchairs and beds * Mounting strap is easily detachable strap and offers the facility more mounting options * Low and high volume option offers the caregiver the option to adjust the alarm to the required volume * Optional screw to close the battery cover making the alarms controls only accessible to facility staff * 0-2 second delay options helps reduce false alarms (for  restless residents) * Low battery alert * Multiple alarm tones *  Standard color Black * Operates on one 9V battery (included) * 1 Year  warranty,13703,34.54,62.8,Beds & Accessories,Alarms,0,0,10240b.jpg,2139,0,0,0,,,,,,,,,,
Basic Alarm Monitor for WC's w/1 Year Sensor Pad,The monitor activates when patient lifts off of the pressure pad * This monitor reduces false alarms by automatically silencing the alarm when pressure is reapplied to the sensor pad as the patient settles back onto the sensor pad  or when the belt is re-attached * It is compatible with most manufacturer?s alarm sensor pads  as well as buckle and velcro seatbelt sensor attachments * Automatically resets when pressure is reapplied to the sensor pad * Low and high volume option offers the caregiver the option to adjust the alarm to the required volume * Meets JCAHO guidelines * Alarm is always in the on position  making it impossible for staff to forget to turn the alarm on  and preventing the alarm from being accidentally turned off * Can be used with most companies bed and chair sensor pads as well as both velcro and buckle seatbelt sensors and with Proactive?s floor sensor pads * Mounting bracket easily attaches to practically all wheelchairs and beds *  Standard color is black *  Operates on one 9V battery (included) * 1 Year  warranty * Includes 1 Year Classic chair sensor pad 7 x15,13704,53.5,97.27,Beds & Accessories,Alarms,0,0,13704.jpg,2139,0,0,0,13704.jpg,,,,,,,,,
