CPM Optiflex K-1 Knee Unit With Comfort Pendant,OptiFlex-K1. * Continuous Passive Motion is a postoperative procedure designed to aid in the recovery after joint surgery. *  After extensive joint surgery  if a patient fails to move their joint  the tissue around the joint will become stiff and scar tissue will form  resulting in a joint with limited range of motion  which often takes months of physical therapy to recover. * OptiFlex-K1 Knee CPM has interchangeable hand controls for maximum versatility. * Weighs just 23 lbs (10.4 kg)  making it the lightest knee CPM on the market. * Only 38 inches (97 cm) long. * Wide low-profile  closed-base frame for stability. * Faster motor speed. * Single screw drive. * Reversible footplate for shorter legs. * ROM -10 to 120. * On-board power supply. * Patient lockout feature. * Accommodates patients 4 ft to 6.6 ft (1.2 m - 2 m). * Two-year warranty. *  Technical Specifications Specification  Description Knee Flexion:  120ø Knee Extension:  -10ø Speed:  25ø - 180ø/minute Pauses:  0 - 59 seconds Force Reversal:  45 Kp of force* (built in) Patient Height:  4 - 6.5 ft (1.2 - 2 m) Calf Length Range:  10  - 22  (25.4 - 55.9 cm) Thigh Length Range:  12  - 19  (30.4 - 48.2 cm) Mains Power:  100V-240V  AC 50-60Hz Unit Weight:  23 lb (10.4 kg) Shipping Weight:  54 lb (24.5 kg) Dimensions:  38  x 14  x 9  (97 cm x 36 cm x 23 cm) Electrical Safety Class:  Class 1  Type B,CHAT2028,2299.49,4180.88,Physical Therapy,CPM Units/Accessories,0,0,CHAT2028.jpg,1188,0,0,0,,,,,,,,,,
CPM Optiflex-S Shoulder Unit,Designed to provide anatomical motion for the shoulder  with enhanced patient comfort  compliance and more beneficial outcomes * Addresses full range of motion capabilities * Easy-to-use hand control for storing treatment data on memory chip card * Fully synchronized motors allow treatment parameters to be customized to meet patient's specific therapy protocols * Ergonimic rest for healthy arm and fully adjustable chair * Patented Universial Left/Right Shoulder design * Folds easily for transport/shipping * Lightweight design 55 lbs (25 kg) * Two year limited warranty * CHAT20719 - Fleece Upper and Lower Arm Patient Kit Included,CHAT2029,7302.64,13277.53,Physical Therapy,CPM Units/Accessories,0,0,CHAT2029.jpg,1188,0,0,0,,,,,,,,,,
CPM Artromot E2 Elbow Unit,Is designed to provide anatomical motion for the elbow and to enhance patient comfort and compliance * The Artromot© Elbow addresses full range of motion capabilities * Pronation/Supination and Flesion/Extension * Fully synchronized motors allow treatment parameters to be customized to meet patientÊs specific therapy protocols * Easy to use hand control capable of storing treatment data on memory chip card * True physiological movements with the greatest range of motion * Anatomically correct adjustments * Easy to transport * Lightweight 35 lbs (16 kg) *,CHAT2038,7302.64,13277.53,Physical Therapy,CPM Units/Accessories,0,0,CHAT2038.jpg,1188,0,0,0,,,,,,,,,,
Handle Only for CHAT2102 (E2),Lid Handle (only) for Hydrocollator Model E-2 120 VOLT -- Standard  220/240 VOLT -- Low-Water,CHAT20512,45.54,82.81,Hot & Cold Therapy,Heating Unit Accessories,0,0,chat20512.jpg,1188,0,0,0,,,,,,,,,,
CPM OptiFlex Patient Kit,Optiflex Patient Kit * Chattanooga Group patient kits are manufactured with the same attention to quality and comfort as our OptiFlex© and Artromot© CPM therapy equipment * High quality  deep pile sheepskin  durable fleece and soft foam fill ensures increased patient comfort and proper positioning during therapy *,CHAT20533,20.3,36.91,Physical Therapy,CPM Units/Accessories,0,0,CHAT20533.jpg,1188,0,0,0,,,,,,,,,,
Power Cord only for 2302 Heating Unit,Power Cord for SS-2 Mobile Heating Unit with 8 Standard HotPacs * Mains Power: 110~120 V 50/60 Hz * Power Consumption: 1000W * Electrical Safety Class: Class 1  Type B,CHAT20568,28.51,51.84,Hot & Cold Therapy,Heating Unit Accessories,0,0,chat20568.jpg,1188,0,0,0,,,,,,,,,,
Clevis only for Midland Traction Table,Clevis only for Midland Traction Table * Assists in performing horizontal cervical traction without pulling on the patient's jaw * Weight: 5lb,CHAT20575,56.26,102.29,Physical Therapy,CPM Units/Accessories,0,0,20575.jpg,1188,0,0,0,,,,,,,,,,
CPM Artromot K3 Patient Kit,Atromot Patient Kit K3 * Chattanooga Group patient kits are manufactured with the same attention to quality and comfort as our OptiFlex© and Artromot© CPM therapy equipment * High quality  deep pile sheepskin  durable fleece and soft foam fill ensures increased patient comfort and proper positioning during therapy *,CHAT20710,21.14,38.44,Physical Therapy,CPM Units/Accessories,0,0,CHAT20533.jpg,1188,0,0,0,,,,,,,,,,
CPM Artromot K4 Softgoods Patient Kit,Atromot Fleece Kit K4 * Chattanooga Group patient kits are manufactured with the same attention to quality and comfort as our OptiFlex© and Artromot© CPM therapy equipment * High quality  deep pile sheepskin  durable fleece and soft foam fill ensures increased patient comfort and proper positioning during therapy *,CHAT20711,21.19,38.52,Physical Therapy,CPM Units/Accessories,0,0,CHAT20533.jpg,1188,0,0,0,,,,,,,,,,
CPM Artromot Ankle Softgoods Patient Kit SP2,Atromot Ankle CPM Kit * Chattanooga Group patient kits are manufactured with the same attention to quality and comfort as our OptiFlex© and Artromot© CPM therapy equipment * High quality  deep pile sheepskin  durable fleece and soft foam fill ensures increased patient comfort and proper positioning during therapy *,CHAT20716,12.19,22.16,Physical Therapy,CPM Units/Accessories,0,0,CHAT20533.jpg,1188,0,0,0,,,,,,,,,,
CPM Artromot Elbow Softgoods Patient Kit,Atromot Elbow Kit E2 * Chattanooga Group patient kits are manufactured with the same attention to quality and comfort as our OptiFlex© and Artromot© CPM therapy equipment * High quality  deep pile sheepskin  durable fleece and soft foam fill ensures increased patient comfort and proper positioning during therapy *,CHAT20723,21.14,38.44,Physical Therapy,CPM Units/Accessories,0,0,CHAT20533.jpg,1188,0,0,0,,,,,,,,,,
Hydrocollator Heat Unit Stationary- E-1countertop,* Comes with 4 standard size HotPacs * 15  H x 12.5  L x 8  W * HCPCS Suggested Code: E0225 * High-quality stainless steel * Thermostatically controlled temperature * 3  (8 cm) swivel-type rubber casters for silent  friction-free movement of mobile units * Easy maintenence and simple to fill and drain. No plumbing required * UL listed and cUL listed (120 Volt),CHAT2102,500,909.09,Hot & Cold Therapy,Heating Units,21,0,CHAT2102.jpg,1188,0,0,0,,,,,,,,,,
Hydrocollator Heat Unit w/ 2 Standard & 2 Cervical Hotpac,E-1 Stationary Heating Unit with 2 Standard & 2 Cervical HotPacs. * Specification  Description Mains Power:  110~120 V 50/60 Hz Power Consumption:  1000W Product Weight:  15 lb (7 kg) Shipping Weight:  21 lb (8 kg) Dimensions:  13 L x 8 W x 16 H (33 cm x 20 cm x 41 cm) Electrical Safety Class:  Class 1  Type B Safety Tests:  Conforms to UL 60601-1  certified to Can/CSA C222 No. 601.1 Tank Capacity*:  3 gal (11 L) Temperature Range:  160ø - 165øF (71ø - 74øC) Thermal Cut-Out Temperature:  180ø - 185øF (82ø - 85øC) Temperature Accuracy:  +/- 10% Heat Up Time to 160øF (71øC):  2 Hrs Cool Down Time from 160øF (71øC):  1 Hr Fiberglass Insulation:  No,CHAT21023,500,909.09,Hot & Cold Therapy,Heating Units,15,0,CHAT21023.jpg,1188,13,8,16,CHAT21023.jpg,,,,,,,,,
Drainage Hose f/ Hydrocollator,Hose * Nylon 5/8 x 4' * Coupled Male-Female,CHAT21635,14.79,26.88,Hot & Cold Therapy,Cold Therapy Packs,0,0,chat21635.jpg,1188,0,0,0,,,,,,,,,,
Gel Warmer- Non-Electric,Hangs on front of Chattanooga E1 or E2 * Conducts heat from Hydrocollator to gel * Can not be used with Foam insulating wraps *  Bottles are not included,CHAT22100,36.51,66.39,Hot & Cold Therapy,Heating Unit Accessories,0,0,CHAT22100.jpg,1188,0,0,0,,,,,,,,,,
Inside Rack for SS-2 Heating Unit,Wire Rack for Hydrocollator Model E-2  120 VOLT -- Standard and Model E-2  220/240 VOLT -- Low-Water,CHAT22259,124.71,226.75,Hot & Cold Therapy,Heating Unit Accessories,5,0,chat22259.jpg,1188,0,0,0,,,,,,,,,,
Heating Element only for M4,Hydrocollator M4 Heating Element  1500W 120V Replacement Kit * Kit comes with Heating Element  (2) Washers  (2) Nuts  & (2) Replacement Terminals if needed * Fits Model M4 Hydrocollator * Original Factory Replace Part * 1500W 120V,CHAT22267,105.76,192.29,Hot & Cold Therapy,Heating Unit Accessories,0,0,chat22267.jpg,1188,0,0,0,,,,,,,,,,
Inside Rack for M2 Heating Unit,Replacement rack only for Chattanooga M-2 heating unit*,CHAT22304,160.66,292.1,Hot & Cold Therapy,Heating Unit Accessories,0,0,,1188,0,0,0,,,,,,,,,,
Hydrocollator Mobile Heating Unit,This Hydrocollator SS-2 Mobile Heating Unit comes with 2 Standard  2 Cervical & 2 Oversize HotPacs. * Our flagship product is the standard all others can only hope to match. * Durable and easy to maintain  these high-quality stainless steel units give you a constant supply of temperature-consistent HotPacs. *  Mains Power: 110~120 V 50/60 Hz Power Consumption:  1000W Product Weight: 66 lb (30 kg) Shipping Weight: 80 lb (34 kg) Dimensions: 21 L x 16 W x 33 H (53 cm x 41 cm x 84 cm) Electrical Safety Class: Class 1  Type B Safety Tests:  Conforms to UL 60601-1  certified to Can/CSA C222 No. 601.1 Tank Capacity*:  10 gal (37 L) Temperature Range  160ø - 165øF (71ø - 74øC) Thermal Cut-Out Temperature:  180ø - 185øF (82ø - 85øC) Temperature Accuracy:  +/- 10% Heat Up Time to 160øF (71øC):  4 Hrs Cool Down Time from 160øF (71øC):  4 Hrs Fiberglass Insulation:  Yes,CHAT2302-3,1511.2,2747.64,Hot & Cold Therapy,Hydrocollator&Moist Heat Packs,0,0,CHAT2302-3.jpg,1188,21,16,33,,,,,,,,,,
