Moist Heat Pack Standard 10  X 12,* The Relief Pak© moist heat pack is a simple and effective method of applying moist heat to a localized area * Soothe discomfort from: stiff neck  backache  arthritis  sprains and bruises * Gives at least 30 minutes of therapeutic moist heat * When the treatment is complete the pack can be reheated or stored in a plastic bag in the refrigerator for later use,2496C,11.81,21.47,Hot & Cold Therapy,Hydrocollator&Moist Heat Packs,0.8,0,2496C.jpg,1033,1,11,7,2496C.jpg,2496C-1.jpg,2496C-2.jpg,,,,,,,
Moist Heat Pack Oversize 15  X 24,* The Relief Pak© moist heat pack is a simple and effective method of applying moist heat to a localized area * Soothe discomfort from: stiff neck  backache  arthritis  sprains and bruises * Gives at least 30 minutes of therapeutic moist heat * When the treatment is complete the pack can be reheated or stored in a plastic bag in the refrigerator for later use,2496D,26.67,48.5,Hot & Cold Therapy,Hydrocollator&Moist Heat Packs,3,4,2496D.jpg,1033,1,11,7,2496D.jpg,2496D-1.jpg,2496D-2.jpg,,,,,,,
Moist Heat Pack Round 10  Diameter,The Relief Pak© moist heat pack is a simple and effective method of applying moist heat to a localized area * Soothe discomfort from: stiff neck  backache  arthritis  sprains and bruises * Gives at least 30 minutes of therapeutic moist heat * When the treatment is complete the pack can be reheated or stored in a plastic bag in the refrigerator for later use,2496R,11.12,20.22,Hot & Cold Therapy,Heating Pads/Accessories,1,5,2496r.jpg,1033,10,8,6,2496r.jpg,2496r-1.jpg,,,,,,,,
Backpack / Shoulder Bag for M6  C  M9 or smaller tanks,Converts to either backpack or shoulder bag * Adjustable waist belt and ergonomic comfort backpack straps * Cylinder pouch with generous padding and stabilizing strap * Large accessory pocket * Designed for superior ventilation and safety *,24N,23.63,42.97,Respiratory Care,Oxygen Accessories,0,0,24N.jpg,1304,0,0,0,24N.jpg,24N-1.jpg,24N-2.jpg,,,,,,,
IC Lid for ACC Cryo Cuff,IC Lid,25-0238,98.67,179.39,Hot & Cold Therapy,CRYO Systems & Cuffs,0,0,,1018,0,0,0,,,,,,,,,,
Power Supply (Cable) 8.5v Wall Plug-In (DJO-Aircast),For DJO-Aircast units,25-4882,9.87,17.94,Hot & Cold Therapy,CRYO Systems & Cuffs,0,0,,1018,0,0,0,,,,,,,,,,
Rechargeable Pack for N2500A,Rechargeable Pack for N2500A,2500B,60.39,109.8,Respiratory Care,Pulse Oximeters/Accessories,0,0,,1300,0,0,0,,,,,,,,,,
Case Only for #N2500A  Black,NONIN 2500CC 2500 SERIES PROTECTIVE CARRYING CASE  *Nylon protective case for the 2500 PalmSat series oximeter  *Spare battery and sensor storage  *Oximeter not included  *Black,2500CC,68.54,124.62,Respiratory Care,Pulse Oximeters/Accessories,0,0,2500cc.jpg,1300,0,0,0,,,,,,,,,,
Shoulder Immobilizer Female Large 36  - 42,FEMALE * Large  fits chest circum. 36 -42  * 6  wide elastic chest band with web straps * One humorous cuff  one forearm cuff with hook and loop closure * Female support is contoured in front for proper anatomical fit * Fits left or right arm * HCPCS Suggested Code: A4565,2500FLG,13.54,24.63,Orthopedic Care,Shoulder Immobilizers/Supports,0.38,0,2500MSM.jpg,1314,8,5,2,,,,,,,,,,
Shoulder Immobilizer Female Medium 30  - 36,FEMALE * Medium  fits chest circum. 30 -36  * 6  wide elastic chest band with web straps * One humorous cuff  one forearm cuff with hook and loop closure * Female support is contoured in front for proper anatomical fit * Fits left or right arm * HCPCS Suggested Code: A4565,2500FMD,13.54,24.63,Orthopedic Care,Shoulder Immobilizers/Supports,0.34,0,2500MSM.jpg,1314,8,5,2,,,,,,,,,,
Shoulder Immobilizer Female Small 24 -30,FEMALE * Small  fits chest circum. 24 -30  * 6  wide elastic chest band with web straps * One humorous cuff  one forearm cuff with hook and loop closure * Female support is contoured in front for proper anatomical fit * Fits left or right arm * HCPCS Suggested Code: A4565,2500FSM,13.54,24.63,Orthopedic Care,Shoulder Immobilizers/Supports,0.3,0,2500MSM.jpg,1314,8,5,2,,,,,,,,,,
Shoulder Immobilizer Female X-Large  42 -48,FEMALE * X-Large  fits chest circum. 42 -48  * 6  wide elastic chest band with web straps * One humorous cuff  one forearm cuff with hook and loop closure * Female support is contoured in front for proper anatomical fit * Fits left or right arm * HCPCS Suggested Code: A4565,2500FXL,13.54,24.63,Orthopedic Care,Shoulder Immobilizers/Supports,0.4,0,2500MSM.jpg,1314,8,5,2,,,,,,,,,,
ProPlus Wheelchair Ramp Digital Scale,Pounds & Kilograms * This scale has exclusive technology to  compensate for any movement - critical to weighing patients in wheelchairs * Extremely durable  with state-of-the-art technology  this scale is a  must-have  for any long-term and acute facility * Large  oversized platform provides added support to unsteady patients and can be used with chairs  wheelchairs or as a  stand-on scale * 180 degree swivel head for side read * Keypad entry with customizable 1  backlit LCD display readout * USB and Serial Ports (2) for computer interface with a 270 patient memory and user-friendly menu screen * Motion-sensing weighing technology * 6 D size alkaline batteries & 120 volt AC adapter * Weight capacity: 1000 Lbs x .2 Lb * 3 Year Limited Warranty *,2500KL,2862.07,5203.76,Scales,Wheelchair Scales,0,0,2500KL_1.jpg,1275,0,0,0,,,,,,,,,,
Shoulder Immobilizer Male Large 36  - 42,MALE * Large  fits chest circum. 36 -42  * 6  wide elastic chest band with web straps * One humorous cuff  one forearm cuff with hook and loop closure * Female support is contoured in front for proper anatomical fit * Fits left or right arm * HCPCS Suggested Code: A4565,2500MLG,13.54,24.63,Orthopedic Care,Shoulder Immobilizers/Supports,0.4,0,2500MSM.jpg,1314,8,5,2,,,,,,,,,,
Shoulder Immobilizer Male Medium 30  - 36,MALE * Medium  fits chest circum. 30 -36  * 6  wide elastic chest band with web straps * One humorous cuff  one forearm cuff with hook and loop closure * Female support is contoured in front for proper anatomical fit * Fits left or right arm * HCPCS Suggested Code: A4565,2500MMD,13.54,24.63,Orthopedic Care,Shoulder Immobilizers/Supports,0.4,1,2500MSM.jpg,1314,8,5,2,,,,,,,,,,
