Traditional Lumbar Support Medium 32  - 38,HCPC CODE: L0625,20,34.93,63.5,Orthopedic Care,Back Supports & Braces,0,0,0020.jpg,1314,10,6,0,,,,,,,,,,
Cunningham Incontinence Clamp Penile Clamp 2  Regular,Regular 2  * Urinary incontinence/penile clamp * Used to control stress incontinence or dribbling of urine * Constructed of soft sponge rubber and can be adjusted to fit comfortably * Reusable * Non sterile * HCPCS Suggested Code: A4356,4053,41.53,75.51,Incontinence,Cunningham Clamps,0.1,0,004053.jpg,1178,0,0,0,,,,,,,,,,
Cunningham Incontinence Clamp Penile Clamp 3  Large,Large 3  * Urinary incontinence/penile clamp * Used to control stress incontinence or dribbling of urine * Constructed of soft sponge rubber and can be adjusted to fit comfortably * Reusable * Non sterile *HCPCS Suggested Code: A4356,4054,41.67,75.77,Incontinence,Cunningham Clamps,0.12,0,004053.jpg,1178,0,0,0,,,,,,,,,,
Nose Cutout only,* Permits patients to lie face down without turning head. 9  (22.86cm) long x 2  (5.08cm) wide * Standard placement is in the head end of the table top.,9,144.2,262.18,Physician Supplies,Treatment Table Accessories,0,0,009.jpg,1191,0,0,0,,,,,,,,,,
Thermal Paper for HEM705CP 5/Box,Thermal Paper bx/5 * For Item HEM705CP *,0090TRP,6.04,10.98,Blood Pressure,B. P. Parts & Accessories,0.09,10,0090TRP.jpg,1216,2,3,1,0090TRP.jpg,,,,,,,,,
Aquasonic 100 Sterile- 20 Gram Pouch Bx/48,* World Standard for sterile ultrasound gel. STERILE AQUASONIC 100 is recommended for diagnostic and therapeutic ultrasound applications when sterility is indicated * Overwrapped  sterilized foil pouches * Acoustically correct for the broad range of frequencies used in medical ultrasound * Non-irritating  hypoallergenic * Completely aqueous * Will not stain clothing or damage equipment * * Not a spermicide *,1-Jan,68.55,124.63,Electrotherapy,"Ultrasound Lotions, Gels, Accs",3.18,2,01-01.jpg,1330,16,13,12,,,,,,,,,,
Aquasonic 100 Non-Sterile 60 Gram (2.1 Oz) Tube Bx/12,ORIGINAL BLUE * 60g (2.1oz) Tube  Bx/12 * World Standard for Medical Ultrasound Transmission  AQUASONIC 100 is the most widely used gel for diagnostic and therapeutic medical ultrasound * Recommended for all procedures where a viscous gel is required * Acoustically correct for the broad range of frequencies used * Completely aqueous  will not stain clothing or damage transducers * Unique can't be copied formula is hypoallergenic  bacteriostatic  non-sensitizing and non-irritating * No formaldehyde * Not a spermicide * Used and recommended by leading manufacturers of medical ultrasound equipment worldwide *,2-Jan,18.05,32.82,Electrotherapy,"Ultrasound Lotions, Gels, Accs",2.06,12,01-20.jpg,1330,14,12,9,,,,,,,,,,
Aquasonic 100 Non-Sterile 0.25 Liter (8.5 Oz) Bx/12,ORIGINAL BLUE * 0.25 Liter (8.5oz)  Bx/12 * World Standard for Medical Ultrasound Transmission  AQUASONIC 100 is the most widely used gel for diagnostic and therapeutic medical ultrasound * Recommended for all procedures where a viscous gel is required * Acoustically correct for the broad range of frequencies used * Completely aqueous  will not stain clothing or damage transducers * Unique can't be copied formula is hypoallergenic  bacteriostatic  non-sensitizing and non-irritating * No formaldehyde * Not a spermicide * Used and recommended by leading manufacturers of medical ultrasound equipment worldwide *,8-Jan,28.04,50.98,Electrotherapy,"Ultrasound Lotions, Gels, Accs",8.02,49,01-08.jpg,1330,19,17,8,,,,,,,,,,
Aquasonic 100 Non-Sterile 0.25 Liter (8.5 Oz)  Each,ORIGINAL BLUE * 0.25 Liter (8.5oz)  each * World Standard for Medical Ultrasound Transmission  AQUASONIC 100 is the most widely used gel for diagnostic and therapeutic medical ultrasound * Recommended for all procedures where a viscous gel is required * Acoustically correct for the broad range of frequencies used * Completely aqueous  will not stain clothing or damage transducers * Unique can't be copied formula is hypoallergenic  bacteriostatic  non-sensitizing and non-irritating * No formaldehyde * Not a spermicide * Used and recommended by leading manufacturers of medical ultrasound equipment worldwide *,01-08A,3.7,6.72,Electrotherapy,"Ultrasound Lotions, Gels, Accs",0.64,13,01-08A.jpg,1351,0,0,0,,,,,,,,,,
Aquasonic 100 Non-Sterile 20 Gram Packette  Bx/100,*  World standard for medical ultrasound transmission * The most widely used gel for diagnostic and therapeutic medical ultrasound * Non-Sterile * Recommended for all procedures where a viscous gel is required,20-Jan,33.4,60.73,Electrotherapy,Electrode Lotions & Gels,0,2,01-20.jpg,1330,17,12,7,,,,,,,,,,
