ThermoActive Calf/Arm Support,Patented technology provides circumferential compression in conjunction with cooling or heating therapy * Each support features 3 components: an anatomical wrap with easy to adjust hook and loop; a patented removable gel pack that can either be frozen or heated depending on the use; and a unique hand-held pump that adjusts the level of compression * Indications: Calf  ankle and foot strains and sprains  tendonitis  Epicondylitis (tennis elbow)  Medial Epicondylitis (golferÊs elbow)  Olecranon Bursitis  cubital tunnel syndrome  radial tunnel syndrome  plantar fasciitis  Achilles tendonitis  bursitis  arch pain  heel pain  metatarsal pain,5592G,48.87,88.86,Hot & Cold Therapy,Cold & Hot Therapy Packs,0,0,5592g.jpg,1959,0,0,0,,,,,,,,,,
ThermoActive Thigh Support,Patented technology provides circumferential compression in conjunction with cooling or heating therapy * Each support features 3 components: an anatomical wrap with easy to adjust hook and loop; a patented removable gel pack that can either be frozen or heated depending on the use; and a unique hand-held pump that adjusts the level of compression * Indications: Hamstring strains and injuries  groin strains and injuries  IT Band (Iliotibial Band) injuries  calf and ankle strains and sprains  tendonitis,5592H,50.65,92.09,Hot & Cold Therapy,Cold & Hot Therapy Packs,0,0,5592h.jpg,1959,0,0,0,,,,,,,,,,
ThermoActive Elbow Orthosis w/ROM Hinges,Unique therapeutic device combines the benefits of cold or hot therapy with compression and support * Latex free * Washable and reusable * Easily removable hook and loop gel pack for icing (in the freezer) or heat (in the microwave) treatment * All supports include removable gel pack  compression pump  and extender straps *,5592J,100.17,182.13,Hot & Cold Therapy,Cold & Hot Therapy Packs,0,0,5592j.jpg,1959,0,0,0,,,,,,,,,,
Reusable Knee Gel Pack for item# 5592E,Reusable Knee Gel Pack for ThermoActive item# 5592E,5592KGP,28.16,51.2,Hot & Cold Therapy,Cold & Hot Therapy Packs,0,0,,1959,0,0,0,,,,,,,,,,
ThermoActive Knee Orthosis w/ROM Hinges (TAM),Reimbursable under HCPCS code L1832 * Unique therapeutic device combines the benefits of cold or hot therapy with compression and support * Latex free * Washable and reusable * Easily removable hook and loop gel pack for icing (in the freezer) or heat (in the microwave) treatment * All supports include removable gel pack  compression pump  and extender straps *,5592L,100.17,182.13,Hot & Cold Therapy,Cold & Hot Therapy Packs,0,0,5592l.jpg,1959,0,0,0,,,,,,,,,,
ThermoActive Knee Orthosis w/Polycentric Hinges,Unique therapeutic device combines the benefits of cold or hot therapy with compression and support * Latex free * Washable and reusable * Easily removable hook and loop gel pack for icing (in the freezer) or heat (in the microwave) treatment * All supports include removable gel pack  compression pump  and extender straps *,5592M,73.82,134.22,Hot & Cold Therapy,Cold & Hot Therapy Packs,0,0,5592m.jpg,1959,0,0,0,,,,,,,,,,
Wrist / Hand Orthosis w/Splint,Unique therapeutic device combines the benefits of cold or hot therapy with compression and support * Latex free * Washable and reusable * Easily removable hook and loop gel pack for icing (in the freezer) or heat (in the microwave) treatment * All supports include removable gel pack  compression pump  and extender straps *,5592N,58.01,105.48,Hot & Cold Therapy,Cold & Hot Therapy Packs,0,0,5592f.jpg,1959,0,0,0,,,,,,,,,,
ThermoActive Knee Orthosis w/ROM Hinges (Large) (TAM),Reimbursable under HCPCS code L1832 * Unique therapeutic device combines the benefits of cold or hot therapy with compression and support * Latex free * Washable and reusable * Easily removable hook and loop gel pack for icing (in the freezer) or heat (in the microwave) treatment * All supports include removable gel pack  compression pump  and extender straps *,5592P,129.22,234.94,Hot & Cold Therapy,Cold & Hot Therapy Packs,0,0,5592l.jpg,1959,0,0,0,,,,,,,,,,
Shoulder Orthosis - Left ThermoActive Medical,Reimbursable under L3670 * TAM Shoulder Orthosis - Left * Provides 'total contact' for any anatomy which may limit edema of post surgery or trauma * Customized cold/hot pack may improve comfort * Patients can often put this on by themselves,5592Q,51.74,94.08,Hot & Cold Therapy,Cold & Hot Therapy Packs,0,1,5592Q.jpg,1959,0,0,0,5592Q.jpg,5592Q-1.jpg,,,,,,,,
Shoulder Orthosis - Right ThermoActive Medical,Reimbursable under L3670 * TAM Shoulder Orthosis -Right * Provides 'total contact' for any anatomy which may limit edema of post surgery or trauma * Customized cold/hot pack may improve comfort * Patients can often put this on by themselves,5592R,51.74,94.08,Hot & Cold Therapy,Cold & Hot Therapy Packs,0,0,5592R.jpg,1959,0,0,0,5592R.jpg,5592R-1.jpg,,,,,,,,
