Pessary #8 Shaatz 3.50,# 8 * Used for a first to second degree prolapse and an accompanying cystocele * All pessaries are made with 100% silicone and are latex-free,MENSH350,78.25,142.28,Incontinence,Pessaries,0,0,MENSH150.jpg,1105,0,0,0,,,,,,,,,,
SatinAir APP Adj Pump &Dlx Pad System 110  x 35  x 2.5,110  x 35  x 2.5  * The Meridian SatinAir Adjustable Alternating Pressure Pump and Pad System is designed to be placed over an existing mattress and is both easy to use and maintain * The compact  quiet pump alternately inflates and deflates air cells in the pressure pad and comes standard with a variable pressure setting for maximum patient comfort and compliance * The pump features an output of five liters per minute with a five minute cycle time  and can be mounted on the bed with built-in brackets * 5 liter-per-minute pump alternately inflates and deflates air cells over a 5 minute cycle time * Variable pressure setting for added patient comfort * Pump can be mounted on the bed with built-in bracket * Pad includes flaps that wrap around mattress for better stability * Does not contain latex *  Support patients up to 300 lbs * One year warranty on mattress and pump * HCPCS Code: E0181 pump * HCPCS Code:A4640 replacement pad * Durable  heavy gauge  premium vinyl pad with 130 individual bubble cells for maximum comfort and effectiveness * Head and foot flaps secure pad to mattress and minimize movement,MERAPP2,49.96,90.84,Beds & Accessories,"APP Pumps,. Pads & Acces.",0,0,MERAPP2.jpg,1304,0,0,0,MERAPP2.jpg,MERAPP2-1.jpg,MERAPP2-2.jpg,MERAPP2-3.jpg,MERAPP2-4.jpg,,,,,
Mini-Max 18  x 16  Roho Cushion,Designed for the active individual with low risk of skin breakdown  the ROHO© MINI-MAX© Cushion provides significant shock and impact absorption  skin protection and stability * Protects * Minimizes sitting and shearing pressures * Provides support and comfort in the scapular sacral  or lumbar region * Versatile use * Excellent for sports  bathing  and travel * Durable * Made of non-permeable  non-static and flame-resistant  black neoprene (not made with natural rubber latex) * Lightweight * Carry it anywhere * Construction: flame-resistant  black neoprene (not made with natural rubber latex) * Includes: MINI-MAX  two-way stretch cover  pump  repair kit  operation manual * Optional Heavy Duty Cover available * Height: 1.25 in. / 3.0 cm * Width: 15.0 to 18.25 in. / 38.5 to 46.5 cm * Depth: 14.75 to 16.0 in. / 37.5 to 40.5 cm * Weight: 2.0 lbs / 0.9 kg * Weight Limit Description: There is no weight limit  yet the cushion must be properly sized to the individual * Warranty: 24-month limited warranty on Mini-Max; 6-month limited warranty on cover,MINI1816C,290.53,528.23,Wheelchairs & Accessories,Roho Cushions/Covers,0,0,mini1816c.jpg,1200,0,0,0,,,,,,,,,,
Face Down Pillow Poly Foam 14  X 17  X 6 -2.5   Blue,17  x 14  x 6  > 2.5  * Now you can lay your face down without any strain or stress on your back * The gentle slope on this polyurethance pillow allows for better comfort for anyone that must lay face down for relaxation or medical conditions * The special U shaped opening gently cradles the face while keeping the spine in the correct position * Unique comfort channel on one side to allow women to lay face down comfortably * Reverse side of pillow is flat for men * Polyurethane foam with washable cover *,MJ1420,29.4,53.46,Back & Neck Therapy,Cervical Pillows/Covers,0,12,mj1430.jpg,2263,9,7,5,,,,,,,,,,
Face Down Pillow Poly Foam 14  X 29  X 6 -1.5   Blue,14  X 29  X 6 -1.5  * Ideal for recovery from eye surgery * Can be used for massage therapy * Polyurethane foam * Blue,MJ1430,30.86,56.1,Back & Neck Therapy,Cervical Pillows/Covers,0,0,mj1430.jpg,2263,9,7,5,mj1430.jpg,,,,,,,,,
Dual Position Wedge Convoluted Compressed Foam,Compressed Foam * Contoured back * This uniquely designed urethane foam pillow supports and cradles your back  neck  shoulders and head in cloud-like comfort * Use vertically or horizontally * Use as a bed wedge to elevate the head and make breathing easier * Used in the upright position  it provides comfort and support while you sit * Egg-crate surface allows cooling air circulation * Polurethance foam with washable cover * Size: 22  x  19-3/4  x 10-1/2  high sloping to 1-1/2,MJ1795,44.59,81.07,Back & Neck Therapy,Foam Wedges/ Slants,0,11,MJ1795.JPG,1089,9,7,5,,,,,,,,,,
CPR Bag Holder  Navy for #8939 Crash Cart,Red CPR Bag Holder for crash cart * Shipping Information: * Box: 16 x 11 x 4 * Weight: 3 lbs,MJM1025,20.14,36.62,Emergency & First Aid Products,E.M.T. Supplies,0,0,1020_1025.jpg,1838,0,0,0,,,,,,,,,,
PVC Tubing Lightweight Low Bed,* Low beds eliminate the use of restraints * No sharp edges  with smooth curved corner supports that hold mattress in place * Excellent for psychiatric and Alzheimer  residents * Double walled support at all stress points * 3 different deck heights will facilitate the caregiverÊs work  and can be easily cleaned * Ships UPS  with some assembly required (2 boxes) * User-friendly  durable  economical  lightweight * Single wheel heavy duty threaded stem (3 ) casters  for extra security & safety * Casters will not fall/pull out  * Multi-position elevated headrest * Mattress  headboard/footboard  and casters not included * Dimensions: 80  L x 40  W * Sleeping surface: 80  L x 36  W * Weight capacity: 250 lbs,MJM680-40-R,356.1,647.45,Beds & Accessories,"Beds, Parts & Accessories",0,0,mjm680-40-r.jpg,1838,9,7,5,,,,,,,,,,
Headboard / Footboard with Standard Mesh,* Low beds eliminate the use of restraints * No sharp edges  with smooth curved corner supports that hold mattress in place * Excellent for psychiatric and Alzheimer  residents * Double walled support at all stress points * 3 different deck heights will facilitate the caregiverÊs work  and can be easily cleaned * Ships UPS  with some assembly required (2 boxes) * User-friendly  durable  economical  lightweight * Single wheel heavy duty threaded stem (3 ) casters  for extra security & safety * Casters will not fall/pull out  * Multi-position elevated headrest * Mattress  headboard/footboard  and casters not included * Dimensions: 80  L x 40  W * Sleeping surface: 80  L x 36  W * Weight capacity: 250 lbs,MJM686,128.24,233.16,Beds & Accessories,"Beds, Parts & Accessories",0,0,mjm680-40-r.jpg,1838,0,0,0,,,,,,,,,,
Portable Privacy Screen (PVC) (MJM),Total height of screen: 63.75  * Each panel: 21.25  x 51  * 11  clearance from base to bottom of panel * Total width: 64  (expanded  3-panels) * Folded 24  W x 5  D * Removable velcro panels * Cleans with damp cloth * Mildew resistant * User-friendly * Durable light weight * PVC is an excellent alternative for standard or custom sizes * Flame-retardant,MJM7003,205.12,372.95,Physician Supplies,Screens - Privacy,0,0,,1838,0,0,0,,,,,,,,,,
